2022:06:13,15:18:43,23.50,43.00,0.00
2022:06:13,15:19:49,23.50,43.00,0.00
2022:06:13,15:20:56,23.50,43.00,0.00
2022:06:13,15:22:03,23.50,43.00,0.00
2022:06:13,15:23:09,22.60,46.00,0.00
2022:06:13,15:24:16,22.60,46.00,0.00
2022:06:13,15:25:23,22.60,46.00,0.00
2022:06:13,15:26:30,22.60,46.00,0.00
2022:06:13,15:27:36,22.60,46.00,0.00
2022:06:13,15:28:43,22.60,46.00,0.00
2022:06:13,15:29:50,24.50,41.00,0.00
2022:06:13,15:30:57,24.50,41.00,0.00
2022:06:13,15:32:03,24.50,41.00,0.00
2022:06:13,15:33:10,24.50,41.00,0.00
2022:06:13,15:34:17,24.50,41.00,0.00
2022:06:13,15:35:23,24.50,41.00,0.00
2022:06:13,15:36:30,23.40,43.00,0.00
2022:06:13,15:37:37,23.40,43.00,0.00
2022:06:13,15:38:44,23.40,43.00,0.00
2022:06:13,15:39:50,23.40,43.00,0.00
2022:06:13,15:40:57,23.40,43.00,0.00
2022:06:13,15:42:04,23.40,43.00,0.00
2022:06:13,15:43:11,24.60,40.00,0.00
2022:06:13,15:44:17,24.60,40.00,0.00
2022:06:13,15:45:24,24.60,40.00,0.00
2022:06:13,15:46:31,24.60,40.00,0.00
2022:06:13,15:47:38,24.60,40.00,0.00
2022:06:13,15:48:44,24.60,40.00,0.00
2022:06:13,15:49:51,23.20,43.00,0.00
2022:06:13,15:50:58,23.20,43.00,0.00
2022:06:13,15:52:05,23.20,43.00,0.00
2022:06:13,15:53:11,23.20,43.00,0.00
2022:06:13,15:54:18,23.20,43.00,0.00
2022:06:13,15:55:25,23.20,43.00,0.00
2022:06:13,15:56:32,24.20,43.00,0.00
2022:06:13,15:57:38,24.20,43.00,0.00
2022:06:13,15:58:45,24.20,43.00,0.00
2022:06:13,15:59:52,24.20,43.00,0.00
2022:06:13,16:00:59,24.20,43.00,0.00
2022:06:13,16:02:05,24.20,43.00,0.00
2022:06:13,16:03:12,25.50,38.00,0.00
2022:06:13,16:04:19,25.50,38.00,0.00
2022:06:13,16:05:26,25.50,38.00,0.00
2022:06:13,16:06:33,25.50,38.00,0.00
2022:06:13,16:07:39,25.50,38.00,0.00
2022:06:13,16:08:46,25.50,38.00,0.00
2022:06:13,16:09:53,26.20,38.00,0.00
2022:06:13,16:11:00,26.20,38.00,0.00
2022:06:13,16:12:07,26.20,38.00,0.00
2022:06:13,16:13:13,26.20,38.00,0.00
2022:06:13,16:14:20,26.20,38.00,0.00
2022:06:13,16:15:27,26.20,38.00,0.00
2022:06:13,16:16:34,27.50,35.00,0.00
2022:06:13,16:17:41,27.50,35.00,0.00
2022:06:13,16:18:48,27.50,35.00,0.00
2022:06:13,16:19:54,27.50,35.00,0.00
2022:06:13,16:21:01,27.50,35.00,0.00
2022:06:13,16:22:08,27.50,35.00,0.00
2022:06:13,16:23:15,25.30,38.00,0.00
2022:06:13,16:24:22,25.30,38.00,0.00
2022:06:13,16:25:28,25.30,38.00,0.00
2022:06:13,16:26:35,25.30,38.00,0.00
2022:06:13,16:27:42,25.30,38.00,0.00
2022:06:13,16:28:49,25.30,38.00,0.00
2022:06:13,16:29:56,25.70,38.00,0.00
2022:06:13,16:31:03,25.70,38.00,0.00
2022:06:13,16:32:09,25.70,38.00,0.00
2022:06:13,16:33:16,25.70,38.00,0.00
2022:06:13,16:34:23,25.70,38.00,0.00
2022:06:13,16:35:30,25.70,38.00,0.00
2022:06:13,16:36:37,27.80,34.00,0.00
2022:06:13,16:37:44,27.80,34.00,0.00
2022:06:13,16:38:50,27.80,34.00,0.00
2022:06:13,16:39:57,27.80,34.00,0.00
2022:06:13,16:41:04,27.80,34.00,0.00
2022:06:13,16:42:11,27.80,34.00,0.00
2022:06:13,16:43:18,24.30,40.00,0.00
2022:06:13,16:44:25,24.30,40.00,0.00
2022:06:13,16:45:31,24.30,40.00,0.00
2022:06:13,16:46:38,24.30,40.00,0.00
2022:06:13,16:47:45,24.30,40.00,0.00
2022:06:13,16:48:52,24.30,40.00,0.00
2022:06:13,16:49:59,25.70,37.00,0.00
2022:06:13,16:51:05,25.70,37.00,0.00
2022:06:13,16:52:12,25.70,37.00,0.00
2022:06:13,16:53:19,25.70,37.00,0.00
2022:06:13,16:54:26,25.70,37.00,0.00
2022:06:13,16:55:33,25.70,37.00,0.00
2022:06:13,16:56:39,24.00,41.00,0.00
2022:06:13,16:57:46,24.00,41.00,0.00
2022:06:13,16:58:53,24.00,41.00,0.00
2022:06:13,17:00:00,24.00,41.00,0.00
2022:06:13,17:01:07,24.00,41.00,0.00
2022:06:13,17:02:13,24.00,41.00,0.00
2022:06:13,17:03:20,25.30,38.00,0.00
2022:06:13,17:04:27,25.30,38.00,0.00
2022:06:13,17:05:34,25.30,38.00,0.00
2022:06:13,17:06:41,25.30,38.00,0.00
2022:06:13,17:07:47,25.30,38.00,0.00
2022:06:13,17:08:54,24.00,40.00,0.00
2022:06:13,17:10:01,24.00,40.00,0.00
2022:06:13,17:11:08,24.00,40.00,0.00
2022:06:13,17:12:15,24.00,40.00,0.00
2022:06:13,17:13:22,24.00,40.00,0.00
2022:06:13,17:14:28,24.00,40.00,0.00
2022:06:13,17:15:35,24.50,39.00,0.00
2022:06:13,17:16:42,24.50,39.00,0.00
2022:06:13,17:17:49,24.50,39.00,0.00
2022:06:13,17:18:55,24.50,39.00,0.00
2022:06:13,17:20:02,24.50,39.00,0.00
2022:06:13,17:21:09,24.50,39.00,0.00
2022:06:13,17:22:16,23.60,41.00,0.00
2022:06:13,17:23:23,23.60,41.00,0.00
2022:06:13,17:24:29,23.60,41.00,0.00
2022:06:13,17:25:36,23.60,41.00,0.00
2022:06:13,17:26:43,23.60,41.00,0.00
2022:06:13,17:27:50,23.60,41.00,0.00
2022:06:13,17:28:57,24.50,39.00,0.00
2022:06:13,17:30:03,24.50,39.00,0.00
2022:06:13,17:31:10,24.50,39.00,0.00
2022:06:13,17:32:17,24.50,39.00,0.00
2022:06:13,17:33:24,24.50,39.00,0.00
2022:06:13,17:34:31,24.50,39.00,0.00
2022:06:13,17:35:37,24.70,39.00,0.00
2022:06:13,17:36:44,24.70,39.00,0.00
2022:06:13,17:37:51,24.70,39.00,0.00
2022:06:13,17:38:58,24.70,39.00,0.00
2022:06:13,17:40:05,24.70,39.00,0.00
2022:06:13,17:41:11,24.70,39.00,0.00
2022:06:13,17:42:18,23.60,42.00,0.00
2022:06:13,17:43:25,23.60,42.00,0.00
2022:06:13,17:44:32,23.60,42.00,0.00
2022:06:13,17:45:39,23.60,42.00,0.00
2022:06:13,17:46:46,23.60,42.00,0.00
2022:06:13,17:47:52,23.60,42.00,0.00
2022:06:13,17:48:59,24.50,40.00,0.00
2022:06:13,17:50:06,24.50,40.00,0.00
2022:06:13,17:51:13,24.50,40.00,0.00
2022:06:13,17:52:20,24.50,40.00,0.00
2022:06:13,17:53:26,24.50,40.00,0.00
2022:06:13,17:54:33,24.50,40.00,0.00
2022:06:13,17:55:40,25.40,38.00,0.00
2022:06:13,17:56:47,25.40,38.00,0.00
2022:06:13,17:57:54,25.40,38.00,0.00
2022:06:13,17:59:01,25.40,38.00,0.00
2022:06:13,18:00:07,25.40,38.00,0.00
2022:06:13,18:01:14,25.40,38.00,0.00
2022:06:13,18:02:21,24.90,39.00,0.00
2022:06:13,18:03:28,24.90,39.00,0.00
2022:06:13,18:04:35,24.90,39.00,0.00
2022:06:13,18:05:42,24.90,39.00,0.00
2022:06:13,18:06:49,24.90,39.00,0.00
2022:06:13,18:07:55,24.90,39.00,0.00
2022:06:13,18:09:02,23.90,42.00,0.00
2022:06:13,18:10:09,23.90,42.00,0.00
2022:06:13,18:11:16,23.90,42.00,0.00
2022:06:13,18:12:23,23.90,42.00,0.00
2022:06:13,18:13:29,23.90,42.00,0.00
2022:06:13,18:14:36,23.90,42.00,0.00
2022:06:13,18:15:43,23.00,44.00,0.00
2022:06:13,18:16:50,23.00,44.00,0.00
2022:06:13,18:17:57,23.00,44.00,0.00
2022:06:13,18:19:04,23.00,44.00,0.00
2022:06:13,18:20:10,23.00,44.00,0.00
2022:06:13,18:21:17,23.00,44.00,0.00
2022:06:13,18:22:24,24.00,41.00,0.00
2022:06:13,18:23:31,24.00,41.00,0.00
2022:06:13,18:24:38,24.00,41.00,0.00
2022:06:13,18:25:44,24.00,41.00,0.00
2022:06:13,18:26:51,24.00,41.00,0.00
2022:06:13,18:27:58,24.00,41.00,0.00
2022:06:13,18:29:05,22.50,46.00,0.00
2022:06:13,18:30:12,22.50,46.00,0.00
2022:06:13,18:31:18,22.50,46.00,0.00
2022:06:13,18:32:25,22.50,46.00,0.00
2022:06:13,18:33:32,22.50,46.00,0.00
2022:06:13,18:34:39,22.50,46.00,0.00
2022:06:13,18:35:46,22.80,44.00,0.00
2022:06:13,18:36:52,22.80,44.00,0.00
2022:06:13,18:37:59,22.80,44.00,0.00
